Vuln,test #,detect,patch,time,,,2 iters test****,detect,patch,time,avg,,<- This trial is included in the paper,,,,,,,Vote Times,,Max/Min
,,,,,,,,,,,,,,,,,,,,8238146,,
,,,,,,,,,,,,,,,,,,,,10498433,,
,,,,,,,,,,,,,,,,,,,,9285205,,
,,,,,,,,,,,,,,,,,,,,7807202,,
,,,,,,,,,,,,,,,,,,,,8002594,,
,,,,,,,,,,,,,,,,,,,,8934343,,
,,,,,,,,,,,,,,,,,,,,9603198,,
,,,,,,,,,,,,,,,,,,,,7416289,,
,,,,,,,,,,,,,,,,,,,,9380627,,
,,,,,,,,,,,,,,,,,,,,9559355,,
,,,,,,,,,,,,,,,,,,,,10300260,,
,,,,,,,,,,,,,,,,,,,,8176239,,
,,,,,,,,,,,,,,,,,,,,8110128,,
,,,,,,,,,,,,,,,,,,,,9196060,,
,,,,,,,,,,,,,,,,,,,,8497563,,
,,,,,,,,,,,,,,,,,,,,9489504,,
,,,,,,,,,,,,,,,,,,,,10156911,,
,,,,,,,,,,,,,,,,,,,,8863776,,
,,,,,,,,,,,,,,,,,,,,9860022,,
,,,,,,,,,,,,,,,,,,,,6995846,,
,,,,,,,,,,,,,,,,,,,,8826181,,
,,,,,,,,,,,,,,,,,,,,9510762,,
,,,,,,,,,,,,,,,,,,,,8336362,,
,,,,,,,,,,,,,,,,,,,,9596667,,
,,,,,,,,,,,,,,,,,,,,6669190,,
,,,,,,,,,,,,,,,,,,,,8650503,,
,,,,,,,,,,,,,,,,,,,,7465859,,
,,,,,,,,,,,,,,,,,,,,7892088,,
,,,,,,,,,,,,,,,,,,,,9783999,,
,,,,,,,,,,,,,,,,,,,,7881267,,
,,,,,,,,,,,,,,,,,,,,7220912,,
,,,,,,,,,,,,,,,,,,,,6269414,,
,,,,,,,,,,,,,,,,,,,,6425288,,
,,,,,,,,,,,,,,,,,,,,10420525,,
,,,,,,,,,,,,,,,,,,,,7198467,,
,,,,,,,,,,,,,,,,,,,,7163051,,
,,,,,,,,,,,,,,,,,,,,8110293,,
,,,,,,,,,,,,,,,,,,,,8901003,,
,,,,,,,,,,,,,,,,,,,,8385362,,
